molecule,cas,best_match_url,results,query_url,query_type,Highest Development Event Status and Year,Highest Development Event Source ID,Highest Development Event Source URL,Earliest Approved Event Status and Year,Earliest Approved Event Source ID,Earliest Approved Event Source URL,conditions,phases
PEGVISOMANT,218620-50-9,https://drugs.ncats.io/drug/N824AOU5XV,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""218620%2050%209"")",ONLY CAS,US Approved Rx 2003,BLA021106,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021106,US Approved Rx 2003,BLA021106,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021106,,
PEMBROLIZUMAB,1374853-91-4,https://drugs.ncats.io/drug/DPT0O3T46P,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1374853%2091%204"")",ONLY CAS,US Approved Rx 2014,BLA125514,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125514,US Approved Rx 2014,BLA125514,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125514,,
PEMETREXED,137281-23-3,https://drugs.ncats.io/drug/04Q9AIZ7NO,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""137281%2023%203"")",ONLY CAS,US Approved Rx 2022,ANDA090384,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=090384,US Approved Rx 2004,NDA021677,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021677,Nonsquamous non-small cell lung cancer; Malignant pleural mesothelioma,Approved; Approved
PEMIROLAST,69372-19-6,https://drugs.ncats.io/drug/2C09NV773M,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""69372%2019%206"")",ONLY CAS,US Previously Marketed 1999,ALAMAST by SANTEN,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021079,US Previously Marketed 1999,ALAMAST by SANTEN,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021079,Bronchial asthma; Allergic rhinitis,Approved; Approved
PEMOLINE,2152-34-3,https://drugs.ncats.io/drug/7GAQ2332NK,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""2152%2034%203"")",ONLY CAS,US Previously Marketed 1975,CYLERT by ABBOTT,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016832,US Previously Marketed 1975,CYLERT by ABBOTT,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016832,Attention deficit hyperactivity disorder,Approved
PENBUTOLOL,38363-40-5,https://drugs.ncats.io/drug/78W62V43DY,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""38363%2040%205"")",ONLY CAS,US Previously Marketed 1987,LEVATOL by AUXILIUM PHARMS LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018976,US Previously Marketed 1987,LEVATOL by AUXILIUM PHARMS LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018976,Hypertension,Approved
PENCICLOVIR,39809-25-1,https://drugs.ncats.io/drug/359HUE8FJC,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""39809%2025%201"")",ONLY CAS,US Approved Rx 1996,NDA020629,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020629,US Previously Marketed 1994,FAMVIR by NOVARTIS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020363,Recurrent herpes labialis,Approved
PENICILLAMINE,771431-20-0,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""771431%2020%200"")",ONLY CAS,,,,,,,,
PENICILLIN G,61-33-6,https://drugs.ncats.io/drug/Q42T66VG0C,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""61%2033%206"")",ONLY CAS,US Approved Rx 1953,NDA050138,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050138,US Previously Marketed 1943,Penicillin G Sodium by Various Mfrs.,DeHaen 1940-1975 NMEs,Actinomycosis; Sepsis; Anthrax; Botulism; Diphtheria,Approved; Approved; Approved; Approved; Approved
PENICILLIN V,87-08-1,https://drugs.ncats.io/drug/Z61I075U2W,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""87%2008%201"")",ONLY CAS,US Approved Rx 1968,ANDA060456,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=060456,US Previously Marketed 1955,V-Cillin by Lilly,DeHaen 1940-1975 NMEs,Pneumococcal infections; Staphylococcal infections; Streptococcal infections,Approved; Approved; Approved
PENTAFLUOROPROPANE,460-73-1,https://drugs.ncats.io/drug/TA9UOF49CY,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""460%2073%201"")",ONLY CAS,Possibly Marketed Outside US 2014,21 CFR 352,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aec3924f-3da2-486a-bd4e-59ded15c12b0,Possibly Marketed Outside US 2014,21 CFR 352,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aec3924f-3da2-486a-bd4e-59ded15c12b0,,
PENTAMIDINE,100-33-4,https://drugs.ncats.io/drug/673LC5J4LQ,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""100%2033%204"")",ONLY CAS,US Approved Rx 1984,NDA019264,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019264,US Approved Rx 1984,NDA019264,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019264,"Pneumocystis jiroveci pneumonia (PJP) in high-risk, HIV-infected patients",Approved
PENTAZOCINE,359-83-1,https://drugs.ncats.io/drug/RP4A60D26L,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""359%2083%201"")",ONLY CAS,US Approved Rx 2001,ANDA075735,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075735,US Previously Marketed 1967,TALWIN by HOSPIRA,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016194,Pain,Approved
PENTETIC ACID,67-43-6,https://drugs.ncats.io/drug/7A314HQM0I,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""67%2043%206"")",ONLY CAS,US Previously Marketed 2004,PENTETATE ZINC TRISODIUM by HAMELN PHARMA PLUS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021751,Possibly Marketed Outside US 1965,M006,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=89577417-76a0-cb04-e053-2995a90a5733,"Internal contamination with plutonium, americium, or curium; Acne; Contamination with plutonium, americium, or curium",Approved; Approved; Withdrawn
PENTETRAZOLE,54-95-5,https://drugs.ncats.io/drug/WM5Z385K7T,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""54%2095%205"")",ONLY CAS,US Previously Marketed 1950,PARA HYCODAN PENTYLENETETRAZOL by ENDO,"Federal Register v.37 (1972), page 2852, retrieved from: https://books.google.ru/books?id=VNfjJrqyk_8C",US Previously Marketed 1929,Metrazol by Knoll,https://books.google.com/books?id=2QJtAAAAMAAJ&q=metrazol&dq=metrazol&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwiTueXIhv_mAhVOpFkKHSgHAgUQ6AEwAHoECAAQAg,Narcolepsy without cataplexy; Idiopathic hypersomnia,Phase II; Phase II
PENTOBARBITAL,76-74-4,https://drugs.ncats.io/drug/I4744080IR,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""76%2074%204"")",ONLY CAS,US Approved Rx 1973,ANDA083246,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=083246,US Previously Marketed 1921,calcium pentobarbital,https://catalog.hathitrust.org/Record/100163146,Insomnia; Convulsive episodes; Anxiety,Approved; Approved; Approved
PENTOSAN POLYSULFATE SODIUM,37319-17-8,https://drugs.ncats.io/drug/914032762Y,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""37319%2017%208"")",ONLY CAS,US Approved Rx 1996,NDA020193,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020193,US Approved Rx 1996,NDA020193,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020193,Interstitial cystitis,Approved
PENTOSTATIN,53910-25-1,https://drugs.ncats.io/drug/395575MZO7,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""53910%2025%201"")",ONLY CAS,US Approved Rx 1991,NDA020122,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020122,US Approved Rx 1991,NDA020122,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020122,Hairy cell leukemia,Approved
PENTOXIFYLLINE,6493-05-6,https://drugs.ncats.io/drug/SD6QCT3TSU,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""6493%2005%206"")",ONLY CAS,US Approved Rx 1999,ANDA075191,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075191,US Previously Marketed 1984,TRENTAL by VALIDUS PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018631,Intermittent claudication,Approved
PENTOXYVERINE,77-23-6,https://drugs.ncats.io/drug/32C726X12W,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""77%2023%206"")",ONLY CAS,US Previously Marketed 1955,Toclase by Pfizer,DeHaen 1940-1975 NMEs,US Previously Marketed 1955,Toclase by Pfizer,DeHaen 1940-1975 NMEs,Cough,Phase I
PEPSIN,608-73-1,https://drugs.ncats.io/drug/5477B350EK,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""608%2073%201"")",ONLY CAS,,,,,,,,
PEPTONE,73049-73-7,https://drugs.ncats.io/drug/0K9R94573C,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""73049%2073%207"")",ONLY CAS,Possibly Marketed Outside US 2022,ANDA204469,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2467e332-e95b-4291-9473-b3594c348fbc,Possibly Marketed Outside US 1995,21 CFR 333E,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=311663b8-0652-4b56-86ef-92e3caa81558,,
PERAMIVIR,330600-85-6,https://drugs.ncats.io/drug/9ZS94HQO3B,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""330600%2085%206"")",ONLY CAS,US Approved Rx 2014,NDA206426,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206426,US Approved Rx 2014,NDA206426,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=206426,Influenza virus infections,Approved
PERAMPANEL,380917-97-5,https://drugs.ncats.io/drug/H821664NPK,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""380917%2097%205"")",ONLY CAS,US Approved Rx 2016,NDA208277,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=208277,US Approved Rx 2012,NDA202834,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=202834,Epilepsy,Approved
PERBORIC ACID,14034-78-7,https://drugs.ncats.io/drug/HC4C3M1FO2,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""14034%2078%207"")",ONLY CAS,US Previously Marketed 1921,Sodium Perborate U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,US Previously Marketed 1921,Sodium Perborate U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,
PERFLUTREN,76-19-7,https://drugs.ncats.io/drug/CK0N3WH0SR,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""76%2019%207"")",ONLY CAS,US Approved Rx 2001,NDA021064,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021064,Possibly Marketed Outside US 1997,NDA020899,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=46bcf276-d423-408a-a410-f11383406a94,Heart Diseases,Approved
PERGOLIDE,66104-22-1,https://drugs.ncats.io/drug/24MJ822NZ9,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""66104%2022%201"")",ONLY CAS,US Previously Marketed 1988,PERMAX by VALEANT PHARM INTL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019385,US Previously Marketed 1988,PERMAX by VALEANT PHARM INTL,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019385,Parkinson's disease; Pituitary Pars Intermedia Dysfunction (Equine Cushing’s Disease) in horses,Withdrawn; Approved
PERINDOPRIL,82834-16-0,https://drugs.ncats.io/drug/Y5GMK36KGY,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""82834%2016%200"")",ONLY CAS,US Approved Rx 2009,ANDA079070,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=079070,US Previously Marketed 1993,ACEON by SYMPLMED PHARMS LLC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020184,Parkinson's disease; Stable coronary artery disease; Hypertension; Unknown; Unknown; Unknown,Not Provided; Approved; Approved
PERMETHRIN,52645-53-1,https://drugs.ncats.io/drug/509F88P9SZ,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""52645%2053%201"")",ONLY CAS,US Approved Rx 1989,NDA019855,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019855,US Previously Marketed 1986,NIX by GLAXOSMITHKLINE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019435,Head lice infestation; Scabies; Pediculosis; Scabies,Approved; Approved; Approved; Approved
PEROXIDASE,726169-73-9,https://drugs.ncats.io/drug/A6GWB8T96J,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""726169%2073%209"")",ONLY CAS,Clinical ,INN:mocetinostat [INN],https://ginas.ncats.nih.gov/ginas/app/substance/A6GWB8T96J,,,,Chronic lymphocytic leukemia; Myelodysplastic syndromes; Non-small cell lung cancer,Phase II; Phase II; Phase II
PERPHENAZINE,58-39-9,https://drugs.ncats.io/drug/FTA7XXY4EZ,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""58%2039%209"")",ONLY CAS,US Approved Rx 2022,ANDA210163,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=210163,US Previously Marketed 1957,TRILAFON by SCHERING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=010775,Depression; Anxiety; Nausea; Schizophrenia; Vomiting,Approved; Approved; Approved; Approved; Approved
PERTUZUMAB,380610-27-5,https://drugs.ncats.io/drug/K16AIQ8CTM,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""380610%2027%205"")",ONLY CAS,US Approved Rx 2020,BLA761170,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=761170,US Approved Rx 2012,BLA125409,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=125409,,
PERU BALSAM,8007-00-9,https://drugs.ncats.io/drug/8P5F881OCY,2,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""8007%2000%209"")%20AND%20(root_names_name:""%5EPERU%20BALSAM$"")",EXACT NAME,US Approved Allergenic Extract 1994,BLA103738,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2f082b68-dc74-418a-9e6f-b3c285b41d44,US Previously Marketed 1921,Balsam of Peru U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,,
PETHIDINE,57-42-1,https://drugs.ncats.io/drug/9E338QE28F,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""57%2042%201"")",ONLY CAS,US Approved Rx 1942,NDA021171,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021171,US Previously Marketed 1942,DEMEROL by VALIDUS PHARMS,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=005010,Pain,Approved
PHENAZONE,60-80-0,https://drugs.ncats.io/drug/T3CHA1B51H,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""60%2080%200"")",ONLY CAS,US Previously Marketed 1885,Antipyrine,https://books.google.com/books?id=Cb6BOkj9fK4C&lpg=PA126&ots=NPafI1BddW&dq=phenazone%20%20discovery&pg=PA126#v=onepage&q=phenazone%20%20discovery&f=false,US Previously Marketed 1885,Antipyrine,https://books.google.com/books?id=Cb6BOkj9fK4C&lpg=PA126&ots=NPafI1BddW&dq=phenazone%20%20discovery&pg=PA126#v=onepage&q=phenazone%20%20discovery&f=false,Otitis media; Asthma; Pain,Approved; Phase II; Not Provided
PHENAZOPYRIDINE,94-78-0,https://drugs.ncats.io/drug/K2J09EMJ52,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""94%2078%200"")",ONLY CAS,US Previously Marketed 2001,SULFAMETHOXAZOLE AND TRIMETHOPRIM AND PHENAZOPYRIDINE HYDROCHLORIDE by ABLE,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021105,US Previously Marketed 1928,Pyridium,https://www.ncbi.nlm.nih.gov/pubmed/982458,Urinary tract infections; Urinary tract infections,Approved; Approved
PHENDIMETRAZINE,634-03-7,https://drugs.ncats.io/drug/AB2794W8KV,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""634%2003%207"")",ONLY CAS,US Approved Rx 2010,ANDA091042,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=091042,US Previously Marketed 1961,Plegine by Ayerst,OB NME Appendix 1950-1985,Exogenous obesity,Approved
PHENELZINE,51-71-8,https://drugs.ncats.io/drug/O408N561GF,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""51%2071%208"")",ONLY CAS,US Approved Rx 1961,NDA011909,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011909,US Approved Rx 1961,NDA011909,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011909,Depression,Approved
PHENETHYLAMINE,64-04-0,https://drugs.ncats.io/drug/327C7L2BXQ,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""64%2004%200"")",ONLY CAS,,,,,,,Depression,Natural Metabolite
PHENINDAMINE,82-88-2,https://drugs.ncats.io/drug/772BQ8KSST,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""82%2088%202"")",ONLY CAS,US Approved OTC ,21 CFR 341.12(i) cough/cold:antihistamine phenindamine tartrate,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec341-12.xml,US Previously Marketed 1947,Thephorin by Hoffmann-La Roche,DeHaen 1940-1975 NMEs,Allergy,Approved
PHENIRAMINE,86-21-5,https://drugs.ncats.io/drug/134FM9ZZ6M,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""86%2021%205"")",ONLY CAS,US Approved OTC ,21 CFR 341.12(j) cough/cold:antihistamine pheniramine maleate,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec341-12.xml,US Previously Marketed 1948,Trimeton by Schering,DeHaen 1940-1975 NMEs,Allergic conditions; Neurodermatitis; Eye diseases; Meniere's disease; Motion sickness,Approved; Approved; Approved; Approved; Approved
PHENOBARBITAL,50-06-6,https://drugs.ncats.io/drug/YQE403BP4D,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""50%2006%206"")",ONLY CAS,US Approved Rx 2022,NDA215910,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=215910,US Previously Marketed 1912,Luminal,https://archive.org/details/newnonofficialre39coun,Anxiety; Insomnia; Tonic-clonic seizures; Febrile seizures; Epilepsy; Hyperbilirubinemia; Cholestasis; Status epilepticus,Approved; Approved; Approved; Approved; Approved; Approved; Approved; Approved
PHENOL,108-95-2,https://drugs.ncats.io/drug/339NCG44TV,2,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""108%2095%202"")%20AND%20(root_names_name:""%5EPHENOL$"")",EXACT NAME,US Approved Allergenic Extract 1941,BLA103888,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d756bf9e-2e57-48a4-897a-ec1d96472dec,US Previously Marketed 1921,Phenol U.S.P.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Unknown; Sore throat; Onychocryptosis,Approved; Approved
PHENOLPHTHALEIN,"77-09-8
5768-87-6",N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""77%2009%208
5768%2087%206"")",ONLY CAS,,,,,,,,
PHENOXYBENZAMINE,59-96-1,https://drugs.ncats.io/drug/0TTZ664R7Z,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""59%2096%201"")",ONLY CAS,US Approved Rx 2017,ANDA204522,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=204522,US Approved Rx 1953,NDA008708,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=008708,Pheochromocytoma,Approved
PHENTERMINE,122-09-8,https://drugs.ncats.io/drug/C045TQL4WP,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""122%2009%208"")",ONLY CAS,US Approved Rx 2008,ANDA040876,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040876,US Previously Marketed 1959,IONAMIN by UCB INC,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=011613,Obesity,Approved
PHENTOLAMINE,50-60-2,https://drugs.ncats.io/drug/Z468598HBV,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""50%2060%202"")",ONLY CAS,US Approved Rx 2017,ANDA207686,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=207686,US Previously Marketed 1952,Regitine HCl by Ciba,OB NME Appendix 1950-1985,Pheochromocytoma; Dental pain,Approved; Approved
PHENYLALANINE,63-91-2,https://drugs.ncats.io/drug/47E5O17Y3R,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""63%2091%202"")",ONLY CAS,US Previously Marketed ,21 CFR 310.545(a)(20) weight control phenylalanine,https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec310-545.xml,Possibly Marketed Outside US 1971,NDA016822,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa89dad1-bf4f-4f7e-ad1b-2431bdf36a2d,Pain; Depression; Burns,Not Provided; Not Provided; Approved
PHENYLBUTYRATE,1821-12-1,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1821%2012%201"")",ONLY CAS,,,,,,,,
PHENYLEPHRINE,59-42-7,https://drugs.ncats.io/drug/1WS297W6MV,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""59%2042%207"")",ONLY CAS,US Approved OTC ,21 CFR 349.18(c) ophthalmic:vasoconstrictor phenylephrine hydrochloride (0.08 to 0.2%),https://www.gpo.gov/fdsys/pkg/CFR-2018-title21-vol5/xml/CFR-2018-title21-vol5-sec349-18.xml,US Previously Marketed 1934,Neosynephrine,https://books.google.com/books?id=kcVEAQAAMAAJ&newbks=1&newbks_redir=0&dq=phenylephrine%201934&pg=PA760#v=onepage&q=phenylephrine%201934&f=false,Hypotension; Eye diseases,Approved; Approved
PHENYLETHYLACETIC ACID,33987-92-7,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""33987%2092%207"")",ONLY CAS,,,,,,,,
PHENYLPROPANOLAMINE,37577-28-9,https://drugs.ncats.io/drug/7875H6443P,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""37577%2028%209"")",ONLY CAS,US Previously Marketed 1985,COLD CAPSULE IV by GRAHAM DM,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018793,US Previously Marketed 1941,Propadrine by Merck Sharp & Dohme,DeHaen 1940-1975 NMEs,Otitis; Sinusitis; Nasal congestion; Obesity; Nasal congestion,Not Provided; Not Provided; Withdrawn; Withdrawn; Withdrawn
PHENYLTOLOXAMINE,92-12-6,https://drugs.ncats.io/drug/K65LB6598J,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""92%2012%206"")",ONLY CAS,US Previously Marketed 1961,HISTIONEX 50 by STRASENBURGH,https://cdn.loc.gov/service/ll/fedreg/fr047/fr047020/fr047020.pdf,US Previously Marketed 1952,Bristamin by Bristol,DeHaen 1940-1975 NMEs,Fever; Premenstrual and menstrual cramps; Headache; Minor aches; Allergy,Not Provided; Not Provided; Not Provided; Not Provided; Approved
PHENYTOIN,57-41-0,https://drugs.ncats.io/drug/6158TKW0C5,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""57%2041%200"")",ONLY CAS,US Approved Rx 2006,ANDA040684,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040684,US Previously Marketed 1938,Dilantin by Parke-Davis,http://triggered.edina.clockss.org/ServeContent?rft_id=info:doi/10.1124/mi.9.5.1,Seizures; Status epilepticus,Approved; Approved
PHOENIX DACTYLIFERA,89531-62-4,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""89531%2062%204"")",ONLY CAS,,,,,,,,
PHOSPHATIDYLETHANOLAMINE,1334474-30-4,https://drugs.ncats.io/drug/7CMB6B4449,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1334474%2030%204"")",ONLY CAS,,,,,,,,
PHOSPHATIDYL SERINE,1446756-47-3,https://drugs.ncats.io/drug/394XK0IH40,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""1446756%2047%203"")",ONLY CAS,Possibly Marketed Outside US ,EnLyte by Jaymac Pharmaceuticals Llc,https://www.drugbank.ca/drugs/DB00144,Possibly Marketed Outside US 2011,EnBrace HR by Jaymac Pharma,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6f14fa40-97ab-4ec5-b66b-793d6d1abac9,,
PHOSPHOLIPIDS,92128-87-5,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""92128%2087%205"")",ONLY CAS,,,,,,,,
PHOSPHORIC ACID,7664-38-2,https://drugs.ncats.io/drug/E4GA8884NN,1,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""7664%2038%202"")",ONLY CAS,US Approved Rx 2011,ANDA079247,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=079247,US Previously Marketed 1921,Ammonium Phosphate N.F.,https://www.gutenberg.org/files/41778/41778-h/41778-h.htm,Hypophosphatemia; Hyperphosphatemia; Sore muscles & joints; Fatigue; Nausea; Lose body protein; Occasional sleeplessness; Hypophosphatemia,Natural Metabolite; Natural Metabolite; Not Provided; Not Provided; Not Provided; Approved; Not Provided; Approved
PHOSPHORUS,7723-14-0 (red,N/A,0,"https://drugs.ncats.io/substances?q=(root_codes_CAS:""7723%2014%200 (red"")",ONLY CAS,,,,,,,,
